id,source_number,part,part_title,source_page,source_title,source_summary,working_slug,content_type,priority,freshness,editorial_risk,verification_status,publish_approved
td-story-001,1,1,"Music, Food & Cultural Legends",1,Buddy Holly’s Last Ride,The Lubbock rocker recorded his final tracks in late 1958 just before the tragic day the music died.,buddy-hollys-last-ride,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-002,2,1,"Music, Food & Cultural Legends",1,Birth of Dr Pepper,Invented in 1885 at Morrison’s Old Corner Drug Store in Waco.,birth-of-dr-pepper,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-003,3,1,"Music, Food & Cultural Legends",1,Willie’s 4th of July Picnic,Willie Nelson turned a small outdoor gathering in Dripping Springs into a legendary annual counterculture festival.,willies-4th-of-july-picnic,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-004,4,1,"Music, Food & Cultural Legends",1,Selena’s Corpus Christi Rise,The Queen of Tejano music brought the sounds of South Texas to global stardom from a modest garage studio.,selenas-corpus-christi-rise,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-005,5,1,"Music, Food & Cultural Legends",1,Stevie Ray Vaughan’s Guitar Mastery,The Oak Cliff virtuoso picked up a beat-up Fender and reinvented Texas blues on Austin stages.,stevie-ray-vaughans-guitar-mastery,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-006,6,1,"Music, Food & Cultural Legends",1,The Creation of the Margarita,Pancho Morales claimed he mixed the first one in 1942 at Woody’s Tavern in Juárez-adjacent El Paso.,the-creation-of-the-margarita,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-007,7,1,"Music, Food & Cultural Legends",1,The Velvet-Voice of Roy Orbison,"The Wink native combined rockabilly with soaring, operatic heartbreak.",the-velvet-voice-of-roy-orbison,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-008,8,1,"Music, Food & Cultural Legends",1,Austin City Limits TV,Started as a single PBS pilot in 1974 and became the longest-running live music show in history.,austin-city-limits-tv,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-009,9,1,"Music, Food & Cultural Legends",1,The King of Western Swing,Bob Wills and his Texas Playboys blended jazz horns with fiddles in an Ennis dance hall.,the-king-of-western-swing,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-010,10,1,"Music, Food & Cultural Legends",1,The Amarillo Highway Anthem,"Waylon Jennings put the gritty, open-road spirit of the Panhandle into outlaw country gold.",the-amarillo-highway-anthem,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-011,11,1,"Music, Food & Cultural Legends",1,The Luckenbach Magic,Hondo Crouch bought an entire Hill Country ghost town and made everybody famous for being nobody.,the-luckenbach-magic,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-012,12,1,"Music, Food & Cultural Legends",1,The Chicano Soul of Sunny and the Sunliners,San Antonio's West Side Sound bridged R&B; and traditional Mexican ballads.,the-chicano-soul-of-sunny-and-the-sunliners,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
