id,source_number,part,part_title,source_page,source_title,source_summary,working_slug,content_type,priority,freshness,editorial_risk,verification_status,publish_approved
td-story-201,201,5,"Town Oddities, Natural Wonders & Mysteries",10,The Wimberley Jacob’s Well,"Divers plunged into a seemingly bottomless, crystal-clear karstic spring emerging from underwater chambers.",the-wimberley-jacobs-well,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-202,202,5,"Town Oddities, Natural Wonders & Mysteries",10,The Enchanted Rock Dome,A massive pink granite batholith glowing under the moonlight in Gillespie County.,the-enchanted-rock-dome,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-203,203,5,"Town Oddities, Natural Wonders & Mysteries",10,The Palo Duro Canyon Splendor,The Grand Canyon of Texas gashed a brilliant red scar across the flat plains.,the-palo-duro-canyon-splendor,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-204,204,5,"Town Oddities, Natural Wonders & Mysteries",10,The Caddo Lake Mossy Labyrinth,"Ancient bald cypress trees draped in ghostly Spanish moss rose from dark, alligator-filled waters.",the-caddo-lake-mossy-labyrinth,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-205,205,5,"Town Oddities, Natural Wonders & Mysteries",10,The Big Bend Starry Skies,The darkest night skies in North America let the Milky Way blaze like a ceiling of diamonds.,the-big-bend-starry-skies,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-206,206,5,"Town Oddities, Natural Wonders & Mysteries",10,The Terlingua Porch Sitting,Desert residents gathered at sunset on wooden verandas to watch the mountains turn purple.,the-terlingua-porch-sitting,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-207,207,5,"Town Oddities, Natural Wonders & Mysteries",10,The Gruene Water Tower,An iconic old metal landmark standing sentinel over the historic Trinity River/Guadalupe region.,the-gruene-water-tower,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-208,208,5,"Town Oddities, Natural Wonders & Mysteries",10,The Luckenbach Roosters,Free-roaming poultry scratched dust around the old piano under the shade trees.,the-luckenbach-roosters,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-209,209,5,"Town Oddities, Natural Wonders & Mysteries",10,The Fredericksburg Sunday Houses,Tiny second homes built by early German farmers so families could attend weekend church services.,the-fredericksburg-sunday-houses,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-210,210,5,"Town Oddities, Natural Wonders & Mysteries",10,The Castroville Alsatian Heritage,Settlers kept speaking an old French dialect in a quiet Medina County village.,the-castroville-alsatian-heritage,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-211,211,5,"Town Oddities, Natural Wonders & Mysteries",10,The Blanco River Flood Resiliency,"The river rose thirty feet in hours, then the banks bloomed green again.",the-blanco-river-flood-resiliency,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-212,212,5,"Town Oddities, Natural Wonders & Mysteries",10,The Comfort historic Hotel (Hotel Faust),Preserving wooden porches and Victorian transoms in Kendall County.,the-comfort-historic-hotel-hotel-faust,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-213,213,5,"Town Oddities, Natural Wonders & Mysteries",10,The Boerne Cibolo Nature Center,Walking on boardwalks through marshy cypress creeks just outside a bustling town.,the-boerne-cibolo-nature-center,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-214,214,5,"Town Oddities, Natural Wonders & Mysteries",11,The Bandera Cowboy Capital Ranches,Dude ranches taught tourists how to ride horses and two-step under the stars.,the-bandera-cowboy-capital-ranches,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-215,215,5,"Town Oddities, Natural Wonders & Mysteries",11,The Medina Lake Water Dance,A massive concrete dam held back an emerald reservoir that rose and fell with dry spells.,the-medina-lake-water-dance,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-216,216,5,"Town Oddities, Natural Wonders & Mysteries",11,The Uvalde Honey Heritage,"Bees buzzed through vast fields of huajillo brush to produce crystal-clear, sweet nectar.",the-uvalde-honey-heritage,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-217,217,5,"Town Oddities, Natural Wonders & Mysteries",11,The Crystal City Spinach Statue,A giant monument to Popeye the Sailor stood proudly in a South Texas farm town.,the-crystal-city-spinach-statue,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-218,218,5,"Town Oddities, Natural Wonders & Mysteries",11,The Carrizo Springs Artesian Wells,Water bubbled naturally to the sandy surface before deep irrigation changed the water table.,the-carrizo-springs-artesian-wells,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-219,219,5,"Town Oddities, Natural Wonders & Mysteries",11,The Cotulla Donkey Lady Myth,Ghost stories warned teenagers of a phantom figure lurking near old brush-covered highway culverts.,the-cotulla-donkey-lady-myth,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-220,220,5,"Town Oddities, Natural Wonders & Mysteries",11,The Pearsall Pithole Mysteries,Sinkholes opened up in the brush country after heavy rains.,the-pearsall-pithole-mysteries,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-221,221,5,"Town Oddities, Natural Wonders & Mysteries",11,The Pleasanton Birthplace of the Cowboy,Claiming the historic roots of the open-range cattle trade.,the-pleasanton-birthplace-of-the-cowboy,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-222,222,5,"Town Oddities, Natural Wonders & Mysteries",11,The Seguin World’s Largest Pecan,A giant concrete nut sat proudly outside the Guadalupe County courthouse.,the-seguin-worlds-largest-pecan,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-223,223,5,"Town Oddities, Natural Wonders & Mysteries",11,The Luling Watermelon Thump,Locals rolled massive green melons down the main street in a joyful summer festival.,the-luling-watermelon-thump,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-224,224,5,"Town Oddities, Natural Wonders & Mysteries",11,The Gonzales 'Come and Take It' Cannon,A tiny brass piece of artillery that started a legendary frontier scrap.,the-gonzales-come-and-take-it-cannon,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-225,225,5,"Town Oddities, Natural Wonders & Mysteries",11,The Hallettsville Fiddlers’ Jam,Acoustic bow-masters dueled with fast reels in a crowded community hall.,the-hallettsville-fiddlers-jam,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-226,226,5,"Town Oddities, Natural Wonders & Mysteries",11,The Schulenburg Painted Churches,"Immigrants built simple wooden outside structures with breathtaking, ornate hand-painted vaulted ceilings inside.",the-schulenburg-painted-churches,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-227,227,5,"Town Oddities, Natural Wonders & Mysteries",11,The La Grange Chicken Ranch Memory,"The infamous, long-running rural social house operated quietly with local police blessing for decades.",the-la-grange-chicken-ranch-memory,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-228,228,5,"Town Oddities, Natural Wonders & Mysteries",11,The Goliad Courthouse Square,A quiet tree-shaded town square steeped in early mission history.,the-goliad-courthouse-square,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-229,229,5,"Town Oddities, Natural Wonders & Mysteries",11,The Beeville Art Museum,Bringing fine art exhibitions into a quiet South Texas county seat.,the-beeville-art-museum,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-230,230,5,"Town Oddities, Natural Wonders & Mysteries",11,The Refugio Banyan Trees,"Massive, sprawling tropical shade trees grew surprisingly large in a coastal town.",the-refugio-banyan-trees,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
