source_number,source_title,coverage_status,canonical_route,secondary_route,recommended_action,claim_review,publish_decision,notes
51,Bonnie and Clyde’s Grapevine Ambush,route-review-needed,,,confirm-route-before-development,incident-history-needs-verification,hold,TexasDefined has North Texas history coverage but no verified canonical Bonnie-and-Clyde owner was confirmed in this pass; resolve route ownership before drafting.
52,Judge Roy Bean’s West of the Pecos,route-review-needed,,,confirm-route-before-development,biographical-and-site-history-needs-verification,hold,Judge Roy Bean and Langtry need a dedicated route check against West Texas destination and Old West coverage before development.
53,Sam Bass the Train Robber,route-review-needed,,,confirm-route-before-development,incident-history-needs-verification,hold,Round Rock and outlaw history overlap existing regional coverage; confirm canonical ownership before creating a standalone biography.
54,The Great San Antonio Buffalo Hunt,claim-risk-hold,,,hold-for-verification,source-framing-not-established,hold,The supplied title presents a specific named event that was not established as an existing TexasDefined authority topic; verify that the event itself is historically supportable before development.
55,Cynthia Parker’s Capture,route-review-needed,,,confirm-route-before-development,sensitive-biographical-history-needs-verification,hold,Cynthia Ann Parker overlaps frontier and Comanche history; reconcile existing people and historic-site coverage before selecting a canonical page.
56,Quanah Parker’s Last Chief Legacy,route-review-needed,,,confirm-route-before-development,biographical-framing-needs-verification,hold,Quanah Parker already appears in researched Texas history data; confirm whether public profile ownership exists before creating another route.
57,The Capture of Billy the Kid (Texas connection),claim-risk-hold,,,hold-for-verification,texas-connection-not-established,hold,The supplied summary does not establish a specific Texas event or connection strong enough to support publication; research the claimed Texas angle first.
58,The El Paso Salt War,candidate-new-article,,,research-new-article,conflict-history-needs-verification,hold,Potential standalone borderlands-history article if authoritative research confirms the chronology participants and causes without oversimplifying the dispute.
59,The Mason County HooDoo War,candidate-new-article,,,research-new-article,conflict-history-needs-verification,hold,Potential standalone Hill Country history article after authoritative research and careful treatment of ethnicity vigilantism and local political violence.
60,The King Fisher Gunfighter Legend,candidate-new-article,,,research-new-article,biographical-history-needs-verification,hold,Potential standalone outlaw-lawman biography if primary and authoritative secondary sources support the Uvalde and law-enforcement framing.
61,The Bass Reeves Legend,claim-risk-hold,,,hold-for-verification,location-and-jurisdiction-conflict,hold,The supplied Fort Worth federal-court framing requires correction-level research before any Texas angle is developed; do not publish the source summary as fact.
62,The Hideout at Robbers Roost,claim-risk-hold,,,hold-for-verification,place-identity-and-outlaw-claim-needs-verification,hold,Robbers Roost is an ambiguous place name and the Canadian River hideout claim needs a specific documented site and source before development.
63,The Great Hanging at Gainesville,candidate-new-article,,,research-new-article,sensitive-civil-war-violence-needs-authoritative-sourcing,hold,Potential standalone Civil War-era Texas history article but requires careful terminology victim context and authoritative sourcing.
64,The Fort Griffin Fandango,existing-destination,/destination/fort-griffin,,expand-existing-route,frontier-culture-claims-need-verification,hold,Fort Griffin is already a canonical destination inside the Texas Old West system; verified boomtown and frontier-culture history belongs there rather than on a competing URL.
65,The Longhorn Trail Drives,existing-authority,/article/texas-cattle-ranching-history-guide,,keep-existing-route,cattle-trail-claims-need-verification,hold,TexasDefined already has a dedicated cattle-history authority guide covering longhorns cattle trails and ranching; expand that route instead of duplicating it.
66,The JA Ranch in Palo Duro,existing-cluster,/article/texas-cattle-ranching-history-guide,/destination/goodnight-ranch,expand-existing-route,ranch-history-needs-verification,hold,The JA Ranch belongs in the established cattle-and-ranching authority cluster with Goodnight context; verify exact JA Ranch facts before expanding existing coverage.
67,The Adobe Walls Siege,existing-authority,/article/texas-red-river-war-guide,,keep-existing-route,conflict-framing-needs-verification,hold,TexasDefined’s Red River War authority guide already centers Adobe Walls and the 1874–1875 Panhandle conflict; strengthen that page rather than create a duplicate.
68,The Mier Expedition Bean Jar,route-review-needed,,,confirm-route-before-development,texas-republic-history-needs-verification,hold,The Mier Expedition overlaps Republic and military-history coverage; identify the best existing authority owner before deciding whether a standalone article adds value.
69,The Archive War of Austin,candidate-new-article,,,research-new-article,republic-era-history-needs-verification,hold,Potential standalone Austin and Republic-era history article if primary and authoritative sources support the event chronology and archive-removal episode.
70,The Camel Experiment in Camp Verde,route-review-needed,,,confirm-route-before-development,military-experiment-history-needs-verification,hold,Camp Verde and the U.S. Camel Corps may fit an existing military or historic-site route; confirm canonical ownership before commissioning a new article.
71,The Phantom Killer of Texarkana,candidate-new-article,,,research-new-article,unsolved-violent-crime-needs-careful-sourcing,hold,Potential standalone historical-crime article only with victim-centered authoritative sourcing and clear separation of established facts from theories.
72,The Witte Museum Frontier Relics,route-review-needed,,,confirm-route-before-development,museum-collection-claims-need-verification,hold,The Witte is already part of San Antonio museum coverage; confirm the current destination or museum route before adding frontier-collection history.
73,The San Saba Silver Mine Myth,claim-risk-hold,,,hold-for-verification,folklore-and-lost-mine-claims,hold,The source is explicitly mythic; any future treatment must distinguish documented Spanish activity from later lost-mine folklore.
74,The King Ranch Wild Mustangs,existing-authority,/article/king-ranch-texas-history-cattle-legacy,,keep-existing-route,horse-and-ranch-history-needs-verification,hold,King Ranch already has a dedicated authority article; verified mustang history belongs there rather than on a second King Ranch URL.
75,The Legend of Pecos Bill,claim-risk-hold,,,hold-for-verification,folklore-not-historical-fact,hold,Pecos Bill is folklore and tall tale; do not transform the supplied legend into historical reporting without an explicitly folkloric angle and sourcing.
76,The Ben Thompson Gunfighter Tale,candidate-new-article,,,research-new-article,biographical-and-violent-death-history-needs-verification,hold,Potential standalone biography if Austin and San Antonio episodes are verified through authoritative sources and sensational retellings are avoided.
77,The John Wesley Hardin Fast Draw,claim-risk-hold,,,hold-for-verification,sensational-anecdote-needs-verification,hold,The snoring anecdote is a famous claim but should not be repeated as settled fact; research Hardin’s own account and independent historical evidence before development.
78,The Llano Estacado Crossing,existing-cluster,/texas-old-west,,expand-existing-route,exploration-and-geography-claims-need-verification,hold,The Llano Estacado belongs in the existing Texas Old West and regional-history system; expand that cluster if research identifies a strong non-duplicative crossing story.
79,The Buffalo Soldiers of West Texas,existing-authority,/article/buffalo-soldiers-texas-frontier-guide,,keep-existing-route,military-history-needs-verification,hold,TexasDefined already has a dedicated Buffalo Soldiers in Texas authority guide; West Texas fort context should strengthen that page rather than compete with it.
80,The XIT Ranch Land Deal,candidate-new-article,,,research-new-article,land-finance-and-capitol-history-needs-verification,hold,Potential standalone state-history article connecting the Capitol financing arrangement to XIT Ranch if the land acreage and transaction details are sourced precisely.
81,The Matador Land and Cattle Company,route-review-needed,,,confirm-route-before-development,ranch-and-investment-history-needs-verification,hold,Matador and Motley County already have ranching and museum coverage; resolve whether the cattle-history cluster or a new corporate-ranch history page should own the topic.
82,The Tascosa Cowboy Capital,route-review-needed,,,confirm-route-before-development,ghost-town-and-frontier-history-needs-verification,hold,Tascosa overlaps Panhandle Old West and ghost-town coverage; confirm existing canonical ownership before creating a separate article.
83,The Courthouse Fight of Richmond,candidate-new-article,,,research-new-article,political-violence-history-needs-verification,hold,Potential standalone Fort Bend history article if research accurately places the 1889 violence within the larger Jaybird–Woodpecker conflict.
84,The Dove Creek Battle,candidate-new-article,,,research-new-article,indigenous-and-military-conflict-needs-careful-sourcing,hold,Potential standalone history article but requires authoritative sourcing and careful treatment of Kickapoo people militia actions and the wider borderlands context.
85,The Rath City Trading Post,candidate-new-article,,,research-new-article,buffalo-hunting-and-settlement-history-needs-verification,hold,Potential standalone short-lived Panhandle settlement article if the camp’s location timeline and buffalo-hunting economy are well sourced.
86,The Jim Ned Creek Outlaw Trails,claim-risk-hold,,,hold-for-verification,outlaw-trail-claim-not-established,hold,The supplied hiding-place claim is too general to publish; establish specific documented events people and locations before choosing an angle.
87,The Comanche Peak Landmark,claim-risk-hold,,,hold-for-verification,sacred-site-claim-needs-authoritative-cultural-sourcing,hold,The supplied description calls the landmark sacred; that cultural claim requires authoritative Indigenous or historical sourcing before publication.
88,The Salt Creek Massacre,candidate-new-article,,,research-new-article,indigenous-frontier-violence-needs-careful-sourcing,hold,Potential standalone 1871 frontier-history article if the Warren Wagon Train Raid and ensuing military/legal consequences are accurately contextualized.
89,The Palo Alto Battlefield,existing-destination,/destination/palo-alto-battlefield-national-historical-park,/article/texas-us-mexican-war-palo-alto-guide,expand-existing-route,battle-history-needs-verification,hold,Palo Alto already has a canonical National Historical Park destination and a dedicated U.S.–Mexican War authority guide; use those existing owners.
90,The Resaca de la Palma Clash,existing-cluster,/article/texas-us-mexican-war-palo-alto-guide,/destination/palo-alto-battlefield-national-historical-park,expand-existing-route,battle-history-needs-verification,hold,Resaca de la Palma is already within the TexasDefined U.S.–Mexican War authority guide anchored at Palo Alto; do not create a competing battle-history URL without a demonstrated gap.
91,The Jack County Frontier Fort (Richardson),existing-destination,/destination/fort-richardson-state-park-state-historic-site,,expand-existing-route,frontier-fort-history-needs-verification,hold,Fort Richardson already resolves to a canonical destination route; verified frontier-post history belongs there and in existing fort guides.
92,The Fort Concho Outpost,route-review-needed,,,confirm-route-before-development,frontier-fort-history-needs-verification,hold,Fort Concho is substantially covered in Tom Green County and Buffalo Soldier material but an exact canonical public destination owner was not confirmed in this pass.
93,The San Elizario Presidio,existing-cluster,/article/el-paso-county-missions-rio-grande-texas,,expand-existing-route,borderlands-and-mission-trail-history-needs-verification,hold,San Elizario belongs in the established El Paso County missions and borderlands authority cluster; verify the presidio framing before expanding that page.
