id,source_number,part,part_title,source_page,source_title,source_summary,working_slug,content_type,priority,freshness,editorial_risk,verification_status,publish_approved
td-story-051,51,2,"Outlaws, Frontier & Wild West Lore",3,Bonnie and Clyde’s Grapevine Ambush,The notorious duo committed local crimes before their violent end near the Louisiana border.,bonnie-and-clydes-grapevine-ambush,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-052,52,2,"Outlaws, Frontier & Wild West Lore",3,Judge Roy Bean’s West of the Pecos,The eccentric saloon keeper held court under a shady tree dispensing frontier 'justice'.,judge-roy-beans-west-of-the-pecos,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-053,53,2,"Outlaws, Frontier & Wild West Lore",3,Sam Bass the Train Robber,The charismatic outlaw met his bloody end in Round Rock after a botched bank job in 1878.,sam-bass-the-train-robber,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-054,54,2,"Outlaws, Frontier & Wild West Lore",3,The Great San Antonio Buffalo Hunt,Herds of bison still roamed the South Texas brushlands during the early frontier days.,the-great-san-antonio-buffalo-hunt,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-055,55,2,"Outlaws, Frontier & Wild West Lore",3,Cynthia Parker’s Capture,The tragic story of the kidnapped girl raised among the Comanche who later refused to return to white society.,cynthia-parkers-capture,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-056,56,2,"Outlaws, Frontier & Wild West Lore",3,Quanah Parker’s Last Chief Legacy,"The legendary Comanche leader bridged two worlds, building a grand stone home at Cache Creek.",quanah-parkers-last-chief-legacy,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-057,57,2,"Outlaws, Frontier & Wild West Lore",3,The Capture of Billy the Kid (Texas connection),Local sheriffs and outlaws crossed the porous desert borders constantly.,the-capture-of-billy-the-kid-texas-connection,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-058,58,2,"Outlaws, Frontier & Wild West Lore",3,The El Paso Salt War,A violent 1877 community clash over control of precious salt flats near the Franklin Mountains.,the-el-paso-salt-war,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-059,59,2,"Outlaws, Frontier & Wild West Lore",3,The Mason County HooDoo War,"A messy 1870s feud involving cattle rustlers, vigilantes, and German settlers in the Hill Country.",the-mason-county-hoodoo-war,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-060,60,2,"Outlaws, Frontier & Wild West Lore",3,The King Fisher Gunfighter Legend,"A flashy, silver-bedecked gunman who later tried turning badge-wearing peacemaker in Uvalde.",the-king-fisher-gunfighter-legend,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-061,61,2,"Outlaws, Frontier & Wild West Lore",3,The Bass Reeves Legend,"A legendary Black deputy U.S. marshal operating out of the federal court in Fort Worth, arresting thousands of outlaws.",the-bass-reeves-legend,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-062,62,2,"Outlaws, Frontier & Wild West Lore",4,The Hideout at Robbers Roost,Outlaws used the rugged canyons of the Canadian River to vanish from posses.,the-hideout-at-robbers-roost,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-063,63,2,"Outlaws, Frontier & Wild West Lore",4,The Great Hanging at Gainesville,A dark 1862 frontier tragedy where dozens of suspected dissenters were lynched.,the-great-hanging-at-gainesville,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-064,64,2,"Outlaws, Frontier & Wild West Lore",4,The Fort Griffin Fandango,"Buffalo hunters, gamblers, and soldiers raised hell on the edge of the clear fork of the Brazos.",the-fort-griffin-fandango,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-065,65,2,"Outlaws, Frontier & Wild West Lore",4,The Longhorn Trail Drives,Cowboys pushed millions of cattle north from Chisholm and Goodnight-Loving trails through dust and lightning.,the-longhorn-trail-drives,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-066,66,2,"Outlaws, Frontier & Wild West Lore",4,The JA Ranch in Palo Duro,Charles Goodnight carved a cattle kingdom out of the red-rock canyon walls of the Panhandle.,the-ja-ranch-in-palo-duro,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-067,67,2,"Outlaws, Frontier & Wild West Lore",4,The Adobe Walls Siege,Buffalo hunters defended a tiny trading post against a massive Indigenous counter-offensive in 1874.,the-adobe-walls-siege,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-068,68,2,"Outlaws, Frontier & Wild West Lore",4,The Mier Expedition Bean Jar,Prisoners drew white and black beans to determine who would be executed by firing squad in Mexico.,the-mier-expedition-bean-jar,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
