id,source_number,part,part_title,source_page,source_title,source_summary,working_slug,content_type,priority,freshness,editorial_risk,verification_status,publish_approved
td-story-101,101,3,Sports Glory & Iconic Games,5,Texas Western’s 1966 Basketball Title,"Coach Don Haskins started five Black players in the NCAA final, changing college sports forever.",texas-westerns-1966-basketball-title,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-102,102,3,Sports Glory & Iconic Games,5,Nolan Ryan’s Seven No-Hitters,The Alvin Express pitched blazing fastballs for 27 seasons and broke every strikeout record.,nolan-ryans-seven-no-hitters,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-103,103,3,Sports Glory & Iconic Games,5,Earl Campbell’s Heisman & Power Runs,The Tyler Rose smashed through tacklers at the Astrodome and in college glory.,earl-campbells-heisman-and-power-runs,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-104,104,3,Sports Glory & Iconic Games,5,The Cotton Bowl Classic,New Year's Day football in Dallas became a frozen or sun-drenched tradition of gridiron war.,the-cotton-bowl-classic,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-105,105,3,Sports Glory & Iconic Games,6,The Texas-OU Red River Rivalry,State Fair crowds screamed from opposite sides of the Cotton Bowl stadium in October.,the-texas-ou-red-river-rivalry,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-106,106,3,Sports Glory & Iconic Games,6,Tom Landry’s Fedora and Flex Defense,The stoic coach built the Dallas Cowboys into 'America's Team' with calm precision.,tom-landrys-fedora-and-flex-defense,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-107,107,3,Sports Glory & Iconic Games,6,Bum Phillips and the Luv Ya Blue Oilers,The cowboy-hat-wearing coach led Houston into a frenzy of football joy.,bum-phillips-and-the-luv-ya-blue-oilers,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-108,108,3,Sports Glory & Iconic Games,6,The 2005 Rose Bowl Thrash (Vince Young),Longhorn quarterback Vince Young ran for the corner flag in one of college football's greatest finishes.,the-2005-rose-bowl-thrash-vince-young,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-109,109,3,Sports Glory & Iconic Games,6,Ben Hogan’s Golf Swing in Fort Worth,The legendary ball-striker practiced in the wind at Shady Oaks Country Club.,ben-hogans-golf-swing-in-fort-worth,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-110,110,3,Sports Glory & Iconic Games,6,The Astrodome Eighth Wonder,The world's first domed stadium gave birth to artificial turf (AstroTurf) after the natural grass died.,the-astrodome-eighth-wonder,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-111,111,3,Sports Glory & Iconic Games,6,The 2011 Dallas Mavericks Title Run,Dirk Nowitzki carried an underdog team through the playoffs to stun the Miami Heat.,the-2011-dallas-mavericks-title-run,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-112,112,3,Sports Glory & Iconic Games,6,The 1934 Strikers and Golf Greats (Babe Didrikson),"The Beaumont multi-sport phenom dominated track, field, and golf with unmatched fury.",the-1934-strikers-and-golf-greats-babe-didrikson,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-113,113,3,Sports Glory & Iconic Games,6,The Red Raiders’ Masked Rider,A horse and rider thundered across Jones AT&T; Stadium in Lubbock before kickoff.,the-red-raiders-masked-rider,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-114,114,3,Sports Glory & Iconic Games,6,The Aggie Bonfire Tradition,Generations of students stacked heavy logs in College Station before a tragic collapse led to a permanent campus shift.,the-aggie-bonfire-tradition,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-115,115,3,Sports Glory & Iconic Games,6,The San Antonio Spurs’ Towering Dynasty,"Tim Duncan, Gregg Popovich, and international stars turned smart basketball into five championships.",the-san-antonio-spurs-towering-dynasty,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-116,116,3,Sports Glory & Iconic Games,6,The Texas Relays in Austin,Track stars from all over the world gathered at Mike A. Myers Stadium every spring.,the-texas-relays-in-austin,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
